AGS,KRS,Name,Partei,Farbe,Wahl_1990,Wahl_1994,Wahl_1998,Wahl_2002,Wahl_2005,Wahl_2009,Wahl_2013,Haushaltseinkommen,Arbeitslosenquote,Christen,Ausländeranteil,Wohnungseinbrüche,Durchschnittsalter,Gemeindetyp
14523230,14523,Mühlental,AfD,blue,0.09,0.11,0.09,0.1,0.1,0.12,0.13,1553,7.7,53,1.7,54,48.7,Landgemeinde
14625240,14625,Hoyerswerda,Linke,Linke,0.16,0.27,0.28,0.21,0.31,0.34,0.27,1556,8.8,12.4,1.3,38,47.4,Mittelstadt
14626020,14626,Beiersdorf,AfD,blue,0.09,0.1,0.09,0.1,0.1,0.13,0.12,1463,11.8,47,2.4,86,48.4,Landgemeinde
14626070,14626,Dürrhennersdorf,AfD,blue,0.14,0.14,0.12,0.13,0.13,0.18,0.16,1463,11.8,39.8,2.4,86,48.4,Landgemeinde
14626150,14626,Großschweidnitz,AfD,blue,0.09,0.11,0.09,0.11,0.1,0.13,0.13,1463,11.8,19.3,2.4,86,48.4,Kleinstadt
14626270,14626,Lawalde,AfD,blue,0.1,0.11,0.09,0.1,0.1,0.12,0.12,1463,11.8,40.7,2.4,86,48.4,Kleinstadt
14626410,14626,Oppach,AfD,blue,0.1,0.11,0.1,0.11,0.12,0.14,0.14,1463,11.8,37.3,2.4,86,48.4,Landgemeinde
14626510,14626,Schönbach,AfD,blue,0.09,0.1,0.09,0.1,0.1,0.13,0.12,1463,11.8,45.6,2.4,86,48.4,Landgemeinde
14626600,14626,Weißwasser/O.L.,Linke,Linke,0.13,0.26,0.26,0.19,0.31,0.34,0.27,1463,11.8,13.7,2.4,86,48.4,Kleinstadt
14730110,14730,Eilenburg,Linke,Linke,0.12,0.21,0.26,0.19,0.28,0.32,0.24,1530,10,10.7,2,101,47.1,Kleinstadt
15084235,15084,Hohenmölsen,Linke,Linke,0.12,0.19,0.23,0.19,0.32,0.38,0.28,1484,11.1,9.1,3,140,48.3,Kleinstadt
15084360,15084,Nebra,Linke,Linke,0.12,0.2,0.25,0.21,0.31,0.37,0.26,1484,11.1,19.6,3,140,48.3,Landgemeinde
15088250,15088,Nemsdorf-Göhrendorf,Linke,Linke,0.1,0.18,0.25,0.18,0.35,0.37,0.31,1561,9.5,22.6,2,84,47,Landgemeinde
15090310,15090,Klietz,Linke,Linke,0.16,0.23,0.24,0.17,0.3,0.38,0.3,1446,12.9,20,2.1,107,46.9,Landgemeinde
16052000,16052,Gera,Linke,Linke,0.15,0.27,0.29,0.23,0.32,0.36,0.29,1502,11.2,13.9,2.2,63,48.4,Mittelstadt
16054000,16054,Suhl,Linke,Linke,0.19,0.29,0.31,0.24,0.32,0.37,0.3,1659,7.1,14.4,4.9,86,49.6,Mittelstadt
16061014,16061,Bornhagen,AfD,blue,0.22,0.17,0.15,0.18,0.19,0.22,0.25,1517,5.6,,1.5,67,44.8,Landgemeinde
16061027,16061,Effelder,CDU/CSU,black,0.84,0.74,0.69,0.74,0.65,0.62,0.67,1517,5.6,95.1,1.5,67,44.8,Landgemeinde
16061033,16061,Fretterode,AfD,blue,0.21,0.22,0.19,0.2,0.19,0.23,0.21,1517,5.6,61,1.5,67,44.8,Landgemeinde
