KRS,Name,Art,Einwohner,CDU,SPD,FDP,DIE.LINKE,GRÜNE,CSU,PIRATEN,NPD,Tierschutzpartei,REP,ÖDP,FAMILIE,Bündnis.21.RRP,RENTNER,BP,PBC,BüSo,DIE.VIOLETTEN,MLPD,Volksabstimmung,PSG,AfD,BIG,pro.Deutschland,DIE.RECHTE,DIE.FRAUEN,FREIE.WÄHLER,Partei.der.Nichtwähler,PARTEI.DER.VERNUNFT,Die.PARTEI,Wahlbeteiligung,ost_west,Medianeinkommen,Arbeitslosenquote,Ausländeranteil,Schulabgänger.ohne.Abschluss,Kriminalität,Mietpreis,Mietsteigerung,Ländlichkeit
4011,Bremen,krsfr. Stadt,551767,29.071,34.94,3.502,10.267,12.838,0,2.647,1.028,1.03,0,0,0,0.1,0,0,0,0,0,0.045,0,0,3.656,0,0.137,0,0,0.237,0,0,0.5,69.86593715,West,3331,10.1,13.6,6.7,13951,7.68,21.1,0
4012,Bremerhaven,krsfr. Stadt,110121,30.4,38.962,2.869,9.24,8.493,0,2.144,1.51,1.166,0,0,0,0.223,0,0,0,0,0,0.057,0,0,4.158,0,0.164,0,0,0.3,0,0,0.313,63.84902031,West,3041,14.7,12.4,4.8,12796,5,10.9,0
5111,Düsseldorf,krsfr. Stadt,604527,38.787,28.174,7.611,7.03,9.56,0,2.309,0.603,0,0.308,0.123,0,0.042,0,0,0,0.038,0,0.047,0.148,0.021,4.221,0.093,0.16,0.013,0,0.165,0.126,0.058,0.364,73.32917408,West,3690,8.8,17.7,6.8,13938,9.87,13.9,0
5112,Duisburg,krsfr. Stadt,485465,28.414,40.942,3.09,8.303,6.111,0,2.382,2.787,0,0.275,0.103,0,0.085,0,0,0,0.03,0,0.182,0.229,0.042,5.15,0.299,0.758,0.062,0,0.156,0.133,0.073,0.393,67.44128825,West,3326,13.1,16.3,7,11454,5.47,9.3,0
5113,Essen,krsfr. Stadt,573784,32.94,37.315,4.564,7.093,8.216,0,2.237,1.428,0,0.229,0.104,0,0.048,0,0,0,0.063,0,0.098,0.154,0.022,4.111,0.137,0.298,0.023,0,0.168,0.136,0.073,0.545,71.3052074,West,3304,12.4,12.1,9.3,11574,6.36,11.7,0
5114,Krefeld,krsfr. Stadt,222500,38.912,31.093,6.49,6.585,7.971,0,2.284,0.962,0,0.1,0.121,0,0.05,0,0,0,0.023,0,0.055,0.173,0.024,3.748,0.16,0.221,0.019,0,0.353,0.104,0.078,0.475,68.87774453,West,3352,11.2,12.4,7.4,10321,6.42,12.6,0
5116,Mönchengladbach,krsfr. Stadt,256853,43.695,28.145,5.887,6.416,6.187,0,2.5,1.063,0,0.115,0.125,0,0.036,0,0,0,0.016,0,0.024,0.158,0.018,4.173,0.098,0.246,0.016,0,0.251,0.142,0.098,0.591,66.20388632,West,2950,11.4,11.7,6.8,9155,6.05,9.4,0
5117,Mülheim an der Ruhr,krsfr. Stadt,167108,34.519,36.908,5.097,6.468,7.601,0,2.033,1.081,0,0.128,0.108,0,0.047,0,0,0,0.025,0,0.083,0.142,0.031,4.614,0.175,0.297,0.033,0,0.113,0.103,0.051,0.343,75.08022916,West,3373,7.9,12,4.6,8688,6.38,11.4,0
5119,Oberhausen,krsfr. Stadt,209292,29.572,41.711,3.086,8.125,6.452,0,2.695,2.169,0,0.153,0.118,0,0.069,0,0,0,0.029,0,0.075,0.217,0.027,4.203,0.095,0.439,0.038,0,0.161,0.115,0.087,0.363,69.36028449,West,3145,12,12,4.7,9048,5.71,10.5,0
5120,Remscheid,krsfr. Stadt,109009,40.029,30.42,5.691,7.211,6.816,0,2.385,1.073,0,0.221,0.139,0,0.057,0,0,0,0.024,0,0.054,0.222,0.019,4.17,0.2,0.365,0.03,0,0.198,0.106,0.091,0.478,69.03462219,West,3177,8.7,14.6,8.1,7200,5.52,5.2,0
